Postcode,GeneralMailName,DepEnvironmentMailName,Domain
9880,'gemeente',        '', '@aalter.be'
1500,'info',            '', '@halle.be'
1547,'info',            '', '@gemeentebever.be'
1560,'gemeente',        '', '@hoeilaart.be'
1570,'info',            '', '@pajottegem.be'
1600,'info',            '', '@sint-pieters-leeuw.be'
1620,'info',            '', '@drogenbos.be'
1630,'info',            '', '@linkebeek.be'
1640,'info',            '', '@sint-genesius-rode.be'
1652,'info',            '', '@beersel.be'
1670,'info',            '', '@pepingen.be'
1700,'info',            '', '@dilbeek.be'
1730,'info',            '', '@asse.be'
1740,'info',            '', '@ternat.be'
1745,'info',            '', '@opwijk.be'
1750,'info',            '', '@lennik.be'
1760,'info',            '', '@roosdaal.be'
1770,'1770',            '', '@liedekerke.be'
1780,'info',            '', '@wemmel.be'
1785,'info',            '', '@merchtem.be'
1790,'info',            '', '@affligem.be'
1800,'info',            '', '@vilvoorde.be'
1820,'info',            '', '@steenokkerzeel.be'
1830,'info',            '', '@machelen.be'
1840,'info',            '', '@londerzeel.be'
1850,'gemeentebestuur', '', '@grimbergen.be'
1861,'info',            '', '@meise.be'
1880,'info',            '', '@kapelle-op-den-bos.be'
1910,'info',            '', '@kampenhout.be'
1930,'info',            '', '@zaventem.be'
1950,'info',            '', '@kraainem.be'
1970,'info',            '', '@wezembeek-oppem.be'
1980,'info',            '', '@zemst.be'
2000,'info',            '', '@antwerpen.be'
2110,'info',            '', '@wijnegem.be'
2160,'info',            '', '@wommelgem.be'
2200,'info',            '', '@herenthals.be'
2220,'info',            '', '@heist-op-den-berg.be'
2230,'info',            '', '@herselt.be'
2235,'info',            '', '@hulshout.be'
2240,'info',            '', '@zandhoven.be'
2250,'info',            '', '@olen.be'
2260,'info',            '', '@westerlo.be'
2270,'info',            '', '@herenthout.be'
2275,'info',            '', '@lille.be'
2280,'info',            '', '@grobbendonk.be'
2290,'info',            '', '@vorselaar.be'
2300,'stad',            '', '@turnhout.be'
2310,'info',            '', '@rijkevorsel.be'
2320,'onthaal',         '', '@hoogstraten.be'
2330,'info',            '', '@merksplas.be'
2340,'info',            '', '@beerse.be'
2350,'gemeente',        '', '@vosselaar.be'
2360,'info',            '', '@oud-turnhout.be'
2370,'info',            '', '@arendonk.be'
2381,'info',            '', '@ravels.be'
2387,'gemeente',        '', '@baarle-hertog.be'
2390,'info',            '', '@malle.be'
2400,'2400',            '', '@gemeentemol.be'
2430,'info',            '', '@laakdal.be'
2440,'info',            '', '@geel.be'
2450,'info',            '', '@meerhout.be'
2460,'info',            '', '@kasterlee.be'
2470,'gemeentebestuur', '', '@retie.be'
2480,'info',            '', '@dessel.be'
2490,'info',            '', '@balen.be'
2500,'info',            '', '@lier.be'
2520,'info',            '', '@ranst.be'
2530,'info',            '', '@boechout.be'
2540,'informatie',      '', '@hove.be'
2547,'info',            '', '@lint.be'
2550,'info',            '', '@kontich.be'
2560,'info',            '', '@nijlen.be'
2570,'info',            '', '@duffel.be'
2580,'info',            '', '@putte.be'
2590,'info',            '', '@berlaar.be'
2620,'informatie',      '', '@hemiksem.be'
2627,'onthaal',         '', '@schelle.be'
2630,'info',            '', '@aartselaar.be'
2640,'onthaal',         '', '@mortsel.be'
2650,'lokaalbestuur',   '', '@edegem.be'
2800,'onthaal',         '', '@mechelen.be'
2820,'onthaal',         '', '@bonheiden.be'
2830,'info',            '', '@willebroek.be'
2840,'info',            '', '@rumst.be'
2845,'secretariaat',    '', '@niel.be'
2850,'info',            '', '@boom.be'
2860,'info',            '', '@skw.be'
2870,'info',            '', '@puursam.be'
2880,'gemeentebestuur', '', '@bornem.be'
2900,'info',            '', '@schoten.be'
2910,'info',            '', '@essen.be'
2920,'info',            '', '@kalmthout.be'
2930,'info',            '', '@brasschaat.be'
2940,'gemeente',        '', '@stabroek.be'
2950,'gemeente',        '', '@kapellen.be'
2960,'gemeente',        '', '@brecht.be'
2970,'info',            '', '@schilde.be'
2980,'gemeente',        '', '@zoersel.be'
2990,'info',            '', '@wuustwezel.be'
3000,'secretariaat',    '', '@leuven.be'
3020,'info',            '', '@herent.be'
3040,'onthaal',         '', '@huldenberg.be'
3054,'info',            '', '@oud-heverlee.be'
3060,'onthaal',         '', '@bertem.be'
3070,'info',            '', '@kortenberg.be'
3080,'info',            '', '@tervuren.be'
3090,'info',            '', '@overijse.be'
3110,'info',            '', '@rotselaar.be'
3120,'info',            '', '@tremelo.be'
3130,'info',            '', '@begijnendijk.be'
3140,'info',            '', '@keerbergen.be'
3150,'onthaal',         '', '@haacht.be'
3190,'info',            '', '@boortmeerbeek.be'
3200,'info',            '', '@aarschot.be'
3210,'info',            '', '@lubbeek.be'
3220,'info',            '', '@holsbeek.be'
3270,'info',            '', '@scherpenheuvel-zichem.be'
3290,'info',            '', '@diest.be'
3300,'info',            '', '@tienen.be'
3320,'info',            '', '@gemhoegaarden.be'
3350,'info',            '', '@linter.be'
3360,'info',            '', '@bierbeek.be'
3370,'info',            '', '@boutersem.be'
3380,'info',            '', '@glabbeek.be'
3390,'secretariaat',    '', '@tielt-winge.be'
3400,'info',            '', '@landen.be'
3440,'info',            '', '@zoutleeuw.be'
3450,'info',            '', '@geetbets.be'
3460,'info',            '', '@bekkevoort.be'
3470,'info',            '', '@kortenaken.be'
3500,'info',            '', '@hasselt.be'
3520,'info',            '', '@zonhoven.be'
3530,'info',            '', '@houthalen-helchteren.be'
3540,'info',            '', '@herk-de-stad.be'
3545,'info',            '', '@halen.be'
3550,'info',            '', '@heusden-zolder.be'
3560,'info',            '', '@lummen.be'
3570,'gemeentebestuur', '', '@alken.be'
3580,'info',            '', '@beringen.be'
3590,'info',            '', '@diepenbeek.be'
3600,'info',            '', '@genk.be'
3620,'info',            '', '@lanaken.be'
3630,'info',            '', '@maasmechelen.be'
3640,'info',            '', '@kinrooi.be'
3650,'info',            '', '@dilsen-stokkem.be'
3665,'gemeente',        '', '@as.be'
3670,'info',            '', '@oudsbergen.be'
3680,'info',            '', '@maaseik.be'
3690,'informatie',      '', '@zutendaal.be'
3700,'info',            '', '@tongerenborgloon.be'
3717,'info',            '', '@heers.be'
3740,'info',            '', '@bilzenhoeselt.be'
3770,'gemeentebestuur', '', '@riemst.be'
3798,'info',            '', '@devoor.be'
3800,'info',            '', '@sint-truiden.be'
3830,'info',            '', '@wellen.be'
3850,'info',            '', '@nieuwerkerken.be'
3870,'info',            '', '@heers.be'
3890,'info',            '', '@gingelom.be'
3900,'info',            '', '@gemeentepelt.be'
3920,'info',            '', '@lommel.be'
3930,'onthaal',         '', '@hamont-achel.be'
3940,'info',            '', '@hechtel-eksel.be'
3950,'gemeente',        '', '@bocholt.be'
3960,'onthaal',         '', '@bree.be'
3970,'info',            '', '@leopoldsburg.be'
3980,'info',            '', '@tessenderlo-ham.be'
3990,'info',            '', '@peer.be'
8000,'info',            '', '@brugge.be'
8020,'info',            '', '@oostkamp.be'
8210,'info',            '', '@zedelgem.be'
8300,'knokke-heist',    '', '@knokke-heist.be'
8340,'stadsbestuur',    '', '@damme.be'
8370,'stadhuis',        '', '@blankenberge.be'
8377,'info',            '', '@zuienkerke.be'
8400,'o-punt',          '', '@oostende.be'
8420,'gemeentebestuur', '', '@dehaan.be'
8430,'info',            '', '@middelkerke.be'
8450,'gemeentebestuur', '', '@bredene.be'
8460,'info',            '', '@oudenburg.be'
8470,'info',            '', '@gistel.be'
