lon,lat,FragmentationMeasureType
2.764619,50.793892,Amfibieëntunnel
4.451732,50.780563,Kleine ecotunnel
4.709458,51.426779,Kleine ecotunnel
4.563546,51.038971,Kleine ecotunnel
3.563999,50.917903,Amfibieëntunnel
4.434208,50.753267,Ecoduct
4.701101,51.349275,Amfibieëntunnel
4.458298,50.790514,Tunnel met medegebruik fauna
4.489382,51.267689,Kleine ecotunnel
4.503041,51.274584,Kleine ecotunnel
4.705349,50.810778,Kleine ecotunnel
4.505098,51.276426,Kleine ecotunnel
4.508719,51.280193,Kleine ecotunnel
4.510357,51.281935,Kleine ecotunnel
5.434035,50.972407,Amfibieëntunnel
4.59004,50.854923,Kleine ecotunnel
4.528129,51.295142,Kleine ecotunnel
4.447407,50.773969,Kleine ecotunnel
4.486506,51.267124,Kleine ecotunnel
4.967518,51.211189,Tunnel met medegebruik fauna
4.482385,51.266827,Kleine ecotunnel
5.462107,50.783019,Kleine ecotunnel
5.598267,50.966068,Kleine ecotunnel
4.972902,51.18715,Ecoduiker
4.479527,51.266872,Kleine ecotunnel
4.543324,51.045147,Kleine ecotunnel
4.47668,51.267085,Kleine ecotunnel
5.510472,50.830481,Brug met medegebruik fauna
4.962279,51.227603,Kleine ecotunnel
5.510472,50.830481,Brug met medegebruik fauna
5.20733,51.318314,Ecoduct
4.702288,51.413272,Ecoduiker
4.664537,51.382539,Ecoduiker
4.969408,51.20238,Kleine ecotunnel
3.566575,50.918437,Amfibieëntunnel
4.674505,51.23888,Ecoduiker
4.735526,51.485886,Ecoduiker
4.702288,51.413272,Ecoduct
3.061105,51.083401,Kleine ecotunnel
4.470467,50.809473,Kleine ecotunnel
4.551526,51.043163,Kleine ecotunnel
4.468075,50.799661,Landschapsbrug
4.589661,50.85482,Kleine ecotunnel
5.22885,51.296897,Kleine ecotunnel
2.763771,50.793881,Amfibieëntunnel
5.425884,51.009089,Grote ecotunnel
5.761483,51.081629,Ecoduiker
4.589126,50.854673,Kleine ecotunnel
4.963831,51.22471,Ecoduiker
4.455015,50.785495,Kleine ecotunnel
4.522297,51.04975,Kleine ecotunnel
4.425593,50.739379,Tunnel met medegebruik fauna
4.958864,51.233742,Landschapsbrug
5.447052,51.004868,Ecoduiker
4.79538,51.301963,Amfibieëntunnel
4.853771,50.924975,Ecoduiker
5.148884,50.981035,Tunnel met medegebruik fauna
3.562368,50.917565,Amfibieëntunnel
4.967978,51.208671,Kleine ecotunnel
4.49336,51.268922,Ecoduiker
2.765581,50.793914,Amfibieëntunnel
